,scr_num,date_time,trd_stat,preclose_px,open_px,high_px,low_px,last_px,up_limit,down_limit,trd_count,totl_trd_vol,totl_trd_amt,withdraw_buy_count,withdraw_buy_px,withdraw_buy_amount,withdraw_sell_count,withdraw_sell_px,withdraw_sell_amount,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_price6,bid_price7,bid_price8,bid_price9,bid_price10,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_size6,bid_size7,bid_size8,bid_size9,bid_size10,offer_price1,offer_price2,offer_price3,offer_price4,offer_price5,offer_price6,offer_price7,offer_price8,offer_price9,offer_price10,offer_size1,offer_size2,offer_size3,offer_size4,offer_size5,offer_size6,offer_size7,offer_size8,offer_size9,offer_size10,totl_buy_amount,totl_sell_amount,weighted_avg_sell_px,weighted_avg_buy_px
732,000001.XSHE,2023-11-22 10:06:36.000,T,10.28,10.26,10.31,10.24,10.26,11.31,9.25,7009,14037335,144087822.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,444400,800780,610100,762200,655500,1074900,298600,474800,207100,359100,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,427400,196800,301600,172700,330900,609500,394900,923300,357200,571100,10520680,18858476,10.6,10.06
733,000001.XSHE,2023-11-22 10:06:39.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7011,14042735,144143172.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,445200,805980,610100,762200,655500,1074900,298600,474800,207100,359100,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,427400,196800,301500,172700,331100,609500,390900,923300,357200,572600,10527680,18856076,10.6,10.06
734,000001.XSHE,2023-11-22 10:06:42.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7011,14042735,144143172.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,447300,806580,610100,762200,655500,1074900,298600,449100,207100,359100,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,435300,196800,301500,172700,331100,609500,390900,923300,357200,572600,10504680,18863976,10.6,10.06
735,000001.XSHE,2023-11-22 10:06:45.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7014,14055035,144269256.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,435900,807380,609100,762200,655500,1067500,298600,449100,207100,359100,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,434400,196800,301500,172700,331100,609500,390900,923300,357200,572600,10485980,18863376,10.6,10.06
736,000001.XSHE,2023-11-22 10:06:48.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7014,14055035,144269256.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,435900,805380,605300,762200,655500,1068100,298600,449100,207600,359100,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,432400,196800,301500,172700,331100,609500,390900,923300,357200,572600,10481480,18862376,10.6,10.06
737,000001.XSHE,2023-11-22 10:06:51.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7014,14055035,144269256.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,443300,809680,605300,762200,655500,1068300,298600,449100,207100,359100,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,432400,196800,301500,172700,331100,609500,390900,923300,357200,572600,10492880,18862376,10.6,10.06
738,000001.XSHE,2023-11-22 10:06:54.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7015,14055535,144274381.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,449100,809880,604300,762200,655500,1068500,298600,449100,207100,359100,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,436500,196800,301500,172700,331100,609500,390900,923300,357200,572600,10497080,18866476,10.6,10.06
739,000001.XSHE,2023-11-22 10:06:57.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7026,14067235,144394306.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,437400,812980,604300,762200,655500,1068500,298600,449100,207100,359100,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,436500,194200,301500,204200,331100,609500,390900,923300,357200,572600,10488380,18895376,10.6,10.06
740,000001.XSHE,2023-11-22 10:07:00.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7028,14068435,144406606.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,436200,812380,604300,763800,655500,1068500,298600,449100,207100,359100,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,436500,194200,301500,204200,331100,609500,390900,923300,357200,572600,10488180,18895376,10.6,10.06
741,000001.XSHE,2023-11-22 10:07:03.000,T,10.28,10.26,10.31,10.24,10.25,11.31,9.25,7041,14092135,144649541.12,0,0.0,0.0,0,0.0,0.0,10.25,10.24,10.23,10.22,10.21,10.2,10.19,10.18,10.17,10.16,406100,812780,604300,763800,655500,1068500,299600,449100,207100,359100,10.26,10.27,10.28,10.29,10.3,10.31,10.32,10.33,10.34,10.35,435500,194200,301500,204200,331100,609500,390900,923300,357200,572600,10459480,18894376,10.6,10.06
